_id,text,lat,lon,user,created_at,id
502ddb388aef427b52001c3e,@PaulLaFo Its a habbo #IDEA. I think a big idea please READ DM. it would be great.,52.5007142,13.3382825,c4miloSk8,Fri Aug 17 05:48:41 UTC 2012,236338742074417152
502de27f8aef427b52001c7d,Sista heldagen i Berlin... Jag som inte ens längtar hem. Tokigt! Vi kanske oxå flyttar hit!,52.48891349,13.33798179,sandrisen,Fri Aug 17 06:19:44 UTC 2012,236346555014184960
502de7be8aef427b52001ca2,I will never stop being amazed by the amount of Germans in fleece jackets, scarfs and boots. It can't be healthy.,52.5305979,13.40217744,rose_silford,Fri Aug 17 06:42:08 UTC 2012,236352190879510528
502debf88aef427b52001cd5,@Sujeet_S @DicksonBeta For me personally, I'll stay on @Twitter as long as #Gravity is not restricted. Let's wait and see ..,52.5223523,13.441018,janole,Fri Aug 17 07:00:09 UTC 2012,236356726226575360
502df20a8aef427b52001d1b,@Numb1NASCARfan I'm at the "Wombats City Hostel" which is right by the Rosa-Luxemburg subway stop, about 5 blocks N of TV tower.,52.52832,13.40882,HousSitter,Fri Aug 17 07:26:03 UTC 2012,236363245898842113
502df7658aef427b52001d50,@tracey8oh I will be hosting @ProfCasperelli in Berlin in 2 weeks. He is welcome anyday &lt;3,52.49643636,13.29257574,cuzzybru,Fri Aug 17 07:48:54 UTC 2012,236368994830004224
502df7b38aef427b52001d53,#nowplaying #aloeblacc ~ Aloe Blacc | I Need A Dollar ||| Radio TEDDY - In #Kassel #Hessen auf 91.7,52.387139,13.116468,RadioTeddyMusic,Fri Aug 17 07:50:12 UTC 2012,236369323260788736
502df8438aef427b52001d59,@davidoa @connibiesalski @chrrristo @leahtn @lepitts @arsduo dunno but I'm very happy it is! #FF,52.5063217,13.332235,travelsofadam,Fri Aug 17 07:52:36 UTC 2012,236369924778520576
502df8d78aef427b52001d60,I'm exploring Brussels this weekend. Follow along on the #discoverbrussels hashtag :-) #ttot #travex,52.50949287,13.32493007,travelsofadam,Fri Aug 17 07:55:04 UTC 2012,236370546533728256
502df9268aef427b52001d62,Just fixed my shower with a spoon...first time I've ever felt like an actual man.,52.50881,13.454057,iam_timm,Fri Aug 17 07:56:22 UTC 2012,236370875711119360
502dfa618aef427b52001d6d,@iam_timm I'll call you macguyver now! Come to the office now! Need you :),52.54152972,13.38344811,blehnert,Fri Aug 17 08:01:38 UTC 2012,236372197772521472
502dfb5e8aef427b52001d7b,@MarkVogler i know! Not sure which is worse: that i nearly forgot it or that i needed it so much,52.53680854,13.29400148,travelsofadam,Fri Aug 17 08:05:51 UTC 2012,236373259761881088
