time,count,fsq_count,CategorieParents,Categories
Sat Sep 08 10:00:00 UTC 2012,2633,109,Shops & Services=24,Stadium=8
Sat Sep 08 11:00:00 UTC 2012,2928,146,Arts & Entertainment=28,Train Station=7_Park=7
Sat Sep 08 12:00:00 UTC 2012,3172,200,Travel & Transport=43,Train Station=15
Sat Sep 08 13:00:00 UTC 2012,3133,202,Shops & Services=40,Park=14
Sat Sep 08 14:00:00 UTC 2012,3166,226,Food=50,Park=24
Sat Sep 08 15:00:00 UTC 2012,2915,183,Outdoors & Recreation=36,Train Station=13
Sat Sep 08 16:00:00 UTC 2012,2872,196,Outdoors & Recreation=40,Park=21
Sat Sep 08 17:00:00 UTC 2012,3303,176,Outdoors & Recreation=39,Pub=19
Sat Sep 08 18:00:00 UTC 2012,3121,179,Arts & Entertainment=47,Stadium=20
Sat Sep 08 19:00:00 UTC 2012,3104,129,Arts & Entertainment=47,Stadium=21
Sat Sep 08 20:00:00 UTC 2012,3178,106,Food=32,Neighborhood=6_Home (private)=6_Pub=6
Sat Sep 08 21:00:00 UTC 2012,3226,88,Nightlife Spots=23,Pub=11
Sat Sep 08 22:00:00 UTC 2012,3648,80,Nightlife Spots=34,Pub=16
Sat Sep 08 23:00:00 UTC 2012,3144,88,Nightlife Spots=24,Bar=7_Train Station=7_Music Venue=7
Sun Sep 09 00:00:00 UTC 2012,2288,38,Nightlife Spots=15,Bar=5
Sun Sep 09 01:00:00 UTC 2012,1753,22,Nightlife Spots=9,Nightclub=5
Sun Sep 09 02:00:00 UTC 2012,1152,8,Residences=3,Home (private)=2_Hotel=2
Sun Sep 09 03:00:00 UTC 2012,1001,4,Residences=1_Food=1_Travel & Transport=1_Nightlife Spots=1,Chinese Restaurant=1_Nightclub=1_Bus Station=1_Home (private)=1
Sun Sep 09 04:00:00 UTC 2012,674,4,Outdoors & Recreation=1_Travel & Transport=1_Nightlife Spots=1,Nightclub=1_Bridge=1_Train Station=1
Sun Sep 09 05:00:00 UTC 2012,464,12,Travel & Transport=7,Bus Line=3
Sun Sep 09 06:00:00 UTC 2012,436,18,Travel & Transport=10,Train Station=5
Sun Sep 09 07:00:00 UTC 2012,587,25,Travel & Transport=15,Train Station=5_Airport Terminal=5
Sun Sep 09 08:00:00 UTC 2012,1108,29,Travel & Transport=19,Airport Terminal=4_Bus Station=4
Sun Sep 09 09:00:00 UTC 2012,1659,70,Travel & Transport=23,Train Station=12
Sun Sep 09 10:00:00 UTC 2012,2307,120,Travel & Transport=31,Train Station=13
Sun Sep 09 11:00:00 UTC 2012,2583,124,Outdoors & Recreation=26,Train Station=10
Sun Sep 09 12:00:00 UTC 2012,2874,146,Outdoors & Recreation=33,Park=14
Sun Sep 09 13:00:00 UTC 2012,2872,169,Food=38,Park=16
Sun Sep 09 14:00:00 UTC 2012,2848,168,Food=37,Park=15
Sun Sep 09 15:00:00 UTC 2012,2753,161,Food=34,Park=14
Sun Sep 09 16:00:00 UTC 2012,2744,133,Food=27,Park=11
Sun Sep 09 17:00:00 UTC 2012,1782,91,Travel & Transport=22,General Entertainment=8
Sun Sep 09 18:00:00 UTC 2012,2648,111,Arts & Entertainment=38,Stadium=23
Sun Sep 09 19:00:00 UTC 2012,3591,108,Arts & Entertainment=37,Stadium=20
Sun Sep 09 20:00:00 UTC 2012,4294,67,Arts & Entertainment=17,Stadium=10
Sun Sep 09 21:00:00 UTC 2012,5535,57,Travel & Transport=14_Arts & Entertainment=14,Stadium=6
Sun Sep 09 22:00:00 UTC 2012,6348,43,Travel & Transport=15,Train Station=6
Sun Sep 09 23:00:00 UTC 2012,3963,34,Travel & Transport=12,Train Station=5
