time,day,hour,minute,count,top_words
Sat Sep 08 05:00:00 UTC 2012,5,5,300,591,price=26
Sat Sep 08 06:00:00 UTC 2012,5,6,360,536,cuenta=28
Sat Sep 08 07:00:00 UTC 2012,5,7,420,826,morning=43
Sat Sep 08 08:00:00 UTC 2012,5,8,480,1574,morning=64
Sat Sep 08 09:00:00 UTC 2012,5,9,540,2217,morning=96
Sat Sep 08 10:00:00 UTC 2012,5,10,600,2633,morning=64
Sat Sep 08 11:00:00 UTC 2012,5,11,660,2928,last=59
Sat Sep 08 12:00:00 UTC 2012,5,12,720,3172,greater=69
Sat Sep 08 13:00:00 UTC 2012,5,13,780,3133,greater=67
Sat Sep 08 14:00:00 UTC 2012,5,14,840,3166,greater=69
Sat Sep 08 15:00:00 UTC 2012,5,15,900,2915,greater=58
Sat Sep 08 16:00:00 UTC 2012,5,16,960,2872,greater=56
Sat Sep 08 17:00:00 UTC 2012,5,17,1020,3303,tonight=64
Sat Sep 08 18:00:00 UTC 2012,5,18,1080,3121,stadium=93
Sat Sep 08 19:00:00 UTC 2012,5,19,1140,3104,stadium=71
Sat Sep 08 20:00:00 UTC 2012,5,20,1200,3178,xfactor=151
Sat Sep 08 21:00:00 UTC 2012,5,21,1260,3226,well=63
Sat Sep 08 22:00:00 UTC 2012,5,22,1320,3648,night=86
Sat Sep 08 23:00:00 UTC 2012,5,23,1380,3144,night=74
Sun Sep 09 00:00:00 UTC 2012,6,0,0,2288,night=58
Sun Sep 09 01:00:00 UTC 2012,6,1,60,1753,night=53
Sun Sep 09 02:00:00 UTC 2012,6,2,120,1152,night=33
Sun Sep 09 03:00:00 UTC 2012,6,3,180,1001,haha=27
Sun Sep 09 04:00:00 UTC 2012,6,4,240,674,night=20
Sun Sep 09 05:00:00 UTC 2012,6,5,300,464,price=15_sep=15
Sun Sep 09 06:00:00 UTC 2012,6,6,360,436,morning=16_rate=16
Sun Sep 09 07:00:00 UTC 2012,6,7,420,587,morning=27
Sun Sep 09 08:00:00 UTC 2012,6,8,480,1108,last=43
Sun Sep 09 09:00:00 UTC 2012,6,9,540,1659,last=83
Sun Sep 09 10:00:00 UTC 2012,6,10,600,2307,night=78
Sun Sep 09 11:00:00 UTC 2012,6,11,660,2583,happy=79
Sun Sep 09 12:00:00 UTC 2012,6,12,720,2874,bring=80
Sun Sep 09 13:00:00 UTC 2012,6,13,780,2872,pleasee=94
Sun Sep 09 14:00:00 UTC 2012,6,14,840,2848,want=84
Sun Sep 09 15:00:00 UTC 2012,6,15,900,2753,last=56
Sun Sep 09 16:00:00 UTC 2012,6,16,960,2744,well=50_think=50
Sun Sep 09 17:00:00 UTC 2012,6,17,1020,1782,greater=37
Sun Sep 09 18:00:00 UTC 2012,6,18,1080,2648,haha=54_think=54
Sun Sep 09 19:00:00 UTC 2012,6,19,1140,3591,stadium=120
Sun Sep 09 20:00:00 UTC 2012,6,20,1200,4294,xfactor=260
Sun Sep 09 21:00:00 UTC 2012,6,21,1260,5535,coldplay=554
Sun Sep 09 22:00:00 UTC 2012,6,22,1320,6348,fireworks=243
Sun Sep 09 23:00:00 UTC 2012,6,23,1380,3963,amazing=92
