time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Fri Sep 07 14:00:00 UTC 2012,4,14,840,12,0,"","","",""
Fri Sep 07 14:30:00 UTC 2012,4,14,870,14,1,Travel & Transport=1,Train Station=1,Potsdam Hauptbahnhof=1,Train Station=52.39149915 13.06627393
Fri Sep 07 15:00:00 UTC 2012,4,15,900,14,0,"","","",""
Fri Sep 07 15:30:00 UTC 2012,4,15,930,16,0,"","","",""
Fri Sep 07 16:00:00 UTC 2012,4,16,960,15,1,Travel & Transport=1,Light Rail=1,S-Bhf Griebnitzsee=1,Light Rail=52.39430135 13.12733173
Fri Sep 07 16:30:00 UTC 2012,4,16,990,18,0,"","","",""
Fri Sep 07 17:00:00 UTC 2012,4,17,1020,9,0,"","","",""
Fri Sep 07 17:30:00 UTC 2012,4,17,1050,15,0,"","","",""
Fri Sep 07 18:00:00 UTC 2012,4,18,1080,14,1,Outdoors & Recreation=1,Bridge=1,Wublitzbrücke=1,Bridge=52.4178046 12.93507099
Fri Sep 07 18:30:00 UTC 2012,4,18,1110,9,0,"","","",""
Fri Sep 07 19:00:00 UTC 2012,4,19,1140,6,0,"","","",""
Fri Sep 07 19:30:00 UTC 2012,4,19,1170,16,0,"","","",""
Fri Sep 07 20:00:00 UTC 2012,4,20,1200,10,0,"","","",""
Fri Sep 07 20:30:00 UTC 2012,4,20,1230,12,0,"","","",""
Fri Sep 07 21:00:00 UTC 2012,4,21,1260,16,0,"","","",""
Fri Sep 07 21:30:00 UTC 2012,4,21,1290,11,0,"","","",""
Fri Sep 07 22:00:00 UTC 2012,4,22,1320,23,0,"","","",""
Fri Sep 07 22:30:00 UTC 2012,4,22,1350,20,0,"","","",""
Fri Sep 07 23:00:00 UTC 2012,4,23,1380,20,0,"","","",""
Fri Sep 07 23:30:00 UTC 2012,4,23,1410,14,0,"","","",""
Sat Sep 08 00:00:00 UTC 2012,5,0,0,19,0,"","","",""
Sat Sep 08 00:30:00 UTC 2012,5,0,30,13,0,"","","",""
Sat Sep 08 01:00:00 UTC 2012,5,1,60,11,0,"","","",""
Sat Sep 08 01:30:00 UTC 2012,5,1,90,12,0,"","","",""
Sat Sep 08 02:00:00 UTC 2012,5,2,120,16,0,"","","",""
Sat Sep 08 02:30:00 UTC 2012,5,2,150,11,0,"","","",""
Sat Sep 08 03:00:00 UTC 2012,5,3,180,15,0,"","","",""
Sat Sep 08 03:30:00 UTC 2012,5,3,210,14,0,"","","",""
Sat Sep 08 04:00:00 UTC 2012,5,4,240,14,0,"","","",""
Sat Sep 08 04:30:00 UTC 2012,5,4,270,13,0,"","","",""
Sat Sep 08 05:00:00 UTC 2012,5,5,300,15,0,"","","",""
Sat Sep 08 05:30:00 UTC 2012,5,5,330,15,0,"","","",""
Sat Sep 08 06:00:00 UTC 2012,5,6,360,10,0,"","","",""
Sat Sep 08 06:30:00 UTC 2012,5,6,390,12,0,"","","",""
Sat Sep 08 07:00:00 UTC 2012,5,7,420,7,0,"","","",""
Sat Sep 08 07:30:00 UTC 2012,5,7,450,8,0,"","","",""
Sat Sep 08 08:00:00 UTC 2012,5,8,480,11,2,Shops & Services=1_Travel & Transport=1_Food & Drink Shops=1,Train Station=1_Grocery Store=1,Kaufland=1_Potsdam Hauptbahnhof=1,Grocery Store=52.39251252 13.06705082_Train Station=52.39149915 13.06627393
Sat Sep 08 08:30:00 UTC 2012,5,8,510,9,0,"","","",""
Sat Sep 08 09:00:00 UTC 2012,5,9,540,11,0,"","","",""
Sat Sep 08 09:30:00 UTC 2012,5,9,570,11,0,"","","",""
Sat Sep 08 10:00:00 UTC 2012,5,10,600,10,0,"","","",""
Sat Sep 08 10:30:00 UTC 2012,5,10,630,10,1,Colleges & Universities=1,College Academic Building=1,Gymnasium Babelsberg=1,College Academic Building=52.38984975 13.09916709
Sat Sep 08 11:00:00 UTC 2012,5,11,660,10,1,Outdoors & Recreation=1,Other Great Outdoors=1,Potsdam=1,Other Great Outdoors=52.39433889 13.05970788
Sat Sep 08 11:30:00 UTC 2012,5,11,690,12,0,"","","",""
Sat Sep 08 12:00:00 UTC 2012,5,12,720,9,0,"","","",""
Sat Sep 08 12:30:00 UTC 2012,5,12,750,10,0,"","","",""
Sat Sep 08 13:00:00 UTC 2012,5,13,780,14,1,Shops & Services=1,Hardware Store=1,Hagebaumarkt=1,Hardware Store=52.362516 12.936018
Sat Sep 08 13:30:00 UTC 2012,5,13,810,13,0,"","","",""
Sat Sep 08 14:00:00 UTC 2012,5,14,840,13,1,Travel & Transport=1,Train Station=1,Bhf. Potsdam-Rehbrücke=1,Train Station=52.35829458 13.09823245
Sat Sep 08 14:30:00 UTC 2012,5,14,870,14,0,"","","",""
Sat Sep 08 15:00:00 UTC 2012,5,15,900,12,0,"","","",""
Sat Sep 08 15:30:00 UTC 2012,5,15,930,13,0,"","","",""
Sat Sep 08 16:00:00 UTC 2012,5,16,960,11,1,Food=1,Italian Restaurant=1,Massimo 18=1,Italian Restaurant=52.402901 13.06174
Sat Sep 08 16:30:00 UTC 2012,5,16,990,11,0,"","","",""
Sat Sep 08 17:00:00 UTC 2012,5,17,1020,11,0,"","","",""
Sat Sep 08 17:30:00 UTC 2012,5,17,1050,11,0,"","","",""
Sat Sep 08 18:00:00 UTC 2012,5,18,1080,21,2,Food=2,Italian Restaurant=2,Pino=2,Italian Restaurant=52.40409 13.049372
Sat Sep 08 18:30:00 UTC 2012,5,18,1110,20,0,"","","",""
Sat Sep 08 19:00:00 UTC 2012,5,19,1140,24,2,Colleges & Universities=1_Arts & Entertainment=1_College Stadiums=1,Art Gallery=1_College Basketball Court=1,Universitätssporthalle=1_Villa Schöningen=1,College Basketball Court=52.40677692 12.97529486_Art Gallery=52.41362097 13.08764961
Sat Sep 08 19:30:00 UTC 2012,5,19,1170,20,0,"","","",""
Sat Sep 08 20:00:00 UTC 2012,5,20,1200,17,0,"","","",""
Sat Sep 08 20:30:00 UTC 2012,5,20,1230,13,0,"","","",""
Sat Sep 08 21:00:00 UTC 2012,5,21,1260,16,0,"","","",""
Sat Sep 08 21:30:00 UTC 2012,5,21,1290,14,0,"","","",""
Sat Sep 08 22:00:00 UTC 2012,5,22,1320,13,0,"","","",""
Sat Sep 08 22:30:00 UTC 2012,5,22,1350,16,0,"","","",""
Sat Sep 08 23:00:00 UTC 2012,5,23,1380,18,0,"","","",""
Sat Sep 08 23:30:00 UTC 2012,5,23,1410,17,0,"","","",""
Sun Sep 09 00:00:00 UTC 2012,6,0,0,14,0,"","","",""
Sun Sep 09 00:30:00 UTC 2012,6,0,30,14,0,"","","",""
Sun Sep 09 01:00:00 UTC 2012,6,1,60,13,0,"","","",""
Sun Sep 09 01:30:00 UTC 2012,6,1,90,11,0,"","","",""
