time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues
Fri Sep 07 09:30:00 UTC 2012,4,9,570,155,21,Travel & Transport=2_Museums=2_Arts & Entertainment=4_Food=3_Colleges & Universities=2_Professional & Other Places=7,Office=3_Café=2_Government Building=2_Historic Site=2_Art Museum=2,Berlinische Galerie=2_Siegessäule=1_Ernst-Litfaß-Schule=1_Lucella Mannino - Frisette=1_Bibliothek des Fachbereichs Rechtswissenschaft I FU Berlin=1_Metamorph Office=1_Wasch Cafe=1_Park Inn by Radisson Berlin Alexanderplatz=1_Schloss Bellevue=1_Plus Minus Null=1_Google Germany GmbH=1_SRH=1_Sonnenallee=1_Plista=1_The Circus Café=1_Berlin-Schönefeld Airport (SXF)=1_Café Kranzler=1_Kasino Jakob-Kaiser-Haus=1_Standesamt Charlottenburg-Wilmersdorf=1_Charlottenburger Tor=1
Fri Sep 07 10:00:00 UTC 2012,4,10,600,83,9,Travel & Transport=2_Arts & Entertainment=1_Shops & Services=2_Offices=1_Food=1_Professional & Other Places=3,Electronics Store=2_Rest Area=1_Office=1_Tech Startup=1_Mediterranean Restaurant=1_Historic Site=1_Hotel=1_Post Office=1,Autobahnraststätte Seeberg-Ost=1_Knofi=1_nugg.ad Office=1_Hotel Mani=1_SysEleven GmbH - Hosting für Fortgeschrittene=1_Saturn=1_Post I Postbank=1_Checkpoint Charlie=1_GRAVIS Store=1
Fri Sep 07 10:30:00 UTC 2012,4,10,630,120,20,Government Buildings=2_Travel & Transport=5_Outdoors & Recreation=2_Shops & Services=4_Food=8_Professional & Other Places=4,Mall=2_Train Station=2_Scenic Lookout=2_Coworking Space=1_Ramen /  Noodle House=1_Light Rail=1_Beer Garden=1_Office=1,"Fernsehturm | Berlin TV Tower=2_YamYam=1_S+U Alexanderplatz=1_Biergarten in der Freiheit Fünfzehn=1_Aapka - Restaurant & Cocktailbar=1_betahaus=1_Abgeordnetenhaus von Berlin=1_Café Übersee=1_Berlin Hauptbahnhof=1_Colours=1_Bahnhof Berlin Südkreuz=1_Spandau Arcaden=1_real,-=1_Wilmersdorfer Arcaden=1_Groupon=1_Motel One=1_Angry Chicken=1_H Tram S+U Alexanderplatz/ Dircksenstr. | M2 M4 M5 M6=1_Morgenland=1"
Fri Sep 07 11:00:00 UTC 2012,4,11,660,95,12,Government Buildings=1_Travel & Transport=2_College Academic Buildings=1_Residences=1_Shops & Services=4_Food=4_Colleges & Universities=1_Professional & Other Places=1,Hardware Store=2_College Technology Building=1_Light Rail=1_Italian Restaurant=1_Gourmet Shop=1_Train Station=1_Café=1_Home (private)=1,Am Kraftwerk=1_Endlos=1_Kaufhaus des Westens (KaDeWe)=1_Reichstagskuppel=1_Telefunken-Hochhaus=1_The Sandeman & Burke Household=1_Globus Baumarkt=1_Berlin Hauptbahnhof=1_H Tram Arendsweg | M6 16=1_Schlüsseldienst Nemitz=1_Manufactum brot&butter=1_12 Apostel=1
Fri Sep 07 11:30:00 UTC 2012,4,11,690,112,16,Train Stations=1_Travel & Transport=2_Residences=1_Shops & Services=2_Food=9_Professional & Other Places=2,Asian Restaurant=3_Bakery=2,Thang Long=2_Kamps=2_Starbucks=1_Glam Media GmbH=1_Meli Cafe & Foodstore=1_4010 Telekom Shop=1_Flughafen Tempelhof=1_Sardi Feinkost=1_Gleis 13/14=1_The Finsel Residence=1_Pan-M Panini=1_Hotel Artim=1_Mercedes-Benz Niederlassung Berlin (Salzufer)=1_St. Oberholz=1
Fri Sep 07 12:00:00 UTC 2012,4,12,720,107,18,Travel & Transport=8_Arts & Entertainment=3_Shops & Services=2_Food=3,Light Rail=3_Concert Hall=2_Subway=2_Airport=2,Berlin Festival=2_Flughafen Tempelhof=1_H Tram S Landsberger Allee | M5 M6 M8=1_S+U-Bhf Jungfernheide=1_Eisundheiß=1_Checkpoint Second Hand=1_U-Bhf Ernst-Reuter-Platz=1_Stadion An der Alten Försterei=1_Atos IT Solutions and Services=1_KaDeWe LeBuffet Wintergarten=1_Berlin Tegel Airport (TXL)=1_Terminal B=1_BoConcept=1_Volkspark Friedrichshain=1_S-Bhf Storkower Straße=1_S-Bhf Landsberger Allee=1_Aki Tatsu - Sushi & More=1
Fri Sep 07 12:30:00 UTC 2012,4,12,750,117,19,Government Buildings=2_Travel & Transport=3_Outdoors & Recreation=2_Arts & Entertainment=2_Shops & Services=3_Food=4_Professional & Other Places=5,Event Space=1_Government Building=1_Bus Line=1_Train Station=1_City Hall=1_Nightclub=1_Mobile Phone Shop=1_Art Gallery=1,"Penny-Markt=1_Hard Rock Cafe Berlin=1_Schönholzer Heide=1_Kaffeemitte=1_Abgeordnetenhaus von Berlin=1_Sony Experia Tourbus=1_Metamorph Office=1_Ritter Sport Bunte Schokowelt=1_H Bus S-Bhf Storkower Str. [240, 156]=1_Jakob-Kaiser-Haus | Deutscher Bundestag=1_Bode-Museum=1_4010 Telekom Shop=1_Alte Münze=1_Gate 62=1_Alpen Eis=1_Rotes Rathaus=1_Martin Gropius Bau Berlin=1_Gendarmenmarkt=1_Potsdam Hauptbahnhof=1"
Fri Sep 07 13:00:00 UTC 2012,4,13,780,125,22,Government Buildings=3_Travel & Transport=4_Outdoors & Recreation=5_Arts & Entertainment=4_Offices=2_Professional & Other Places=8,Capitol Building=2_Other Great Outdoors=2_Office=2_Concert Hall=2_Coworking Space=1_Train Station=1_Tech Startup=1_Monument / Landmark=1,E-Werk=2_Fiducia It Ag Berlin=1_Deutsches Historisches Museum=1_Jannowitzbrücke=1_Neptunbrunnen=1_Berlin Festival 2012=1_Neue Wache=1_Abgeordnetenhaus von Berlin=1_Flughafen Tempelhof=1_Nikolaiviertel=1_archify HQ=1_Bürgerpark Pankow=1_Motel One=1_Berlin Ostbahnhof=1_Gleis 6/7=1_Bundesministerium der Finanzen=1_Berlin=1_Cinegate Film+Fotostudio=1_The Early Bird Hype=1_Geschäftsstelle der Piratenpartei=1_Raum 304 im AGH=1
Fri Sep 07 13:30:00 UTC 2012,4,13,810,113,19,Train Stations=2_Outdoors & Recreation=2_Travel & Transport=5_Nightlife Spots=2_Arts & Entertainment=2_Food=5_Professional & Other Places=2,Airport=2_Platform=2_Nightclub=2_Embassy / Consulate=1_Seafood Restaurant=1_Medical School=1_Café=1_Government Building=1,Haus am Köllnischen Park=1_Finanzamt Mitte/Tiergarten=1_BIO COMPANY=1_Gleis 10/11 (S-Bahn)=1_Marinehaus=1_haus der psychologie=1_Café Einstein=1_Märkisches Museum=1_Flughafen Tempelhof=1_Eschschloraque=1_Berlin Tegel Airport (TXL)=1_Botschaft und Konsulat der VR China=1_Starbucks=1_Bärenzwinger am Köllnischen Park=1_China Pfanne=1_S+U-Bhf Jannowitzbrücke=1_Unter den Linden=1_Radar-Abhörstation Teufelsberg=1_Die Johanniter=1
Fri Sep 07 14:00:00 UTC 2012,4,14,840,147,9,Travel & Transport=3_Shops & Services=2_Arts & Entertainment=1_Food=2,Light Rail=2_Concert Hall=1_Mall=1_Electronics Store=1_Turkish Restaurant=1_Café=1_Airport=1,Bahnhof Berlin Südkreuz=1_Berlin Festival=1_BöseBubenBar=1_Alexa=1_Flughafen Tempelhof=1_Media Markt=1_Soup kultur=1_S-Bhf Griebnitzsee=1_Alsancak  Simit Sarayı=1
Fri Sep 07 14:30:00 UTC 2012,4,14,870,156,20,Travel & Transport=7_Shops & Services=2_Arts & Entertainment=2_Food=8,Airport=4_Fried Chicken Joint=2_Train Station=2_Music Venue=2,Flughafen Tempelhof=3_Max & Moritz Grill=2_McDonald's | McCafé=1_Berlin Festival 2012=1_Hard Rock Cafe Berlin=1_Bacca=1_Zollpackhof=1_S-Bhf Nordbahnhof=1_S-Bhf. Ahrensfelde - S7=1_Augustiner am Gendarmenmarkt=1_Balzac Coffee=1_Hangar 4 Berlin Festival=1_Berlin Tegel Airport (TXL)=1_Berlin Ostbahnhof=1_Marie Johanna=1_Tempelhofer Park=1_Holmes Place Lifestyle Club=1
Fri Sep 07 15:00:00 UTC 2012,4,15,900,100,14,Travel & Transport=4_Outdoors & Recreation=1_Residences=1_Shops & Services=2_Arts & Entertainment=3_Food=3_Professional & Other Places=1,Airport=2_Concert Hall=2_Bridge=1_Office=1_Café=1_Light Rail=1_German Restaurant=1_Bookstore=1,Berlin Festival=2_Hallesche-Tor-Brücke=1_S-Bhf Baumschulenweg=1_Currywurst Express=1_Berlin Festival 2012=1_Zuhause=1_FrischeParadies Prenzlauer Berg=1_Flughafen Tempelhof=1_Berlin Tegel Airport (TXL)=1_Hotel Q!=1_Café Behring=1_Dussmann das KulturKaufhaus=1_Geschäftsstelle der Piratenpartei=1
Fri Sep 07 15:30:00 UTC 2012,4,15,930,95,12,Travel & Transport=5_Outdoors & Recreation=2_Residences=1_Shops & Services=2_Food=3_Professional & Other Places=1_Colleges & Universities=1,Airport=2_Train Station=2_Fast Food Restaurant=1_College Bookstore=1_Food Court=1_Light Rail=1_Office=1_Park=1,Flughafen Tempelhof=2_Berlin Ostbahnhof=1_White Trash Fast Food=1_SSE (Schwimm-/Sprunghalle im Europasportpark)=1_Berlin Hauptbahnhof=1_Foxxi's Place=1_Markthalle IX=1_Nokia House 2=1_Treptower Park=1_Bruno's=1_S-Bhf Ostkreuz=1
Fri Sep 07 16:00:00 UTC 2012,4,16,960,132,14,Train Stations=1_Outdoors & Recreation=3_Travel & Transport=6_Hotels=1_Arts & Entertainment=1_Offices=1_Food=1_Professional & Other Places=1,Train Station=2_Scenic Lookout=1_Tech Startup=1_Travel Lounge=1_Motel=1_Coffee Shop=1_Park=1_Train=1,Berlin Hauptbahnhof=2_Potsdamer Platz=1_ICE 548 Berlin - Köln=1_SoundCloud HQ=1_Berlin Festival 2012=1_tmkilla.com HQ=1_Motelone=1_DB Lounge Berlin=1_Lustgarten=1_Flughafen Tempelhof=1_Fernsehturm | Berlin TV Tower=1_Starbucks=1_Martin-Luther-Straße=1
Fri Sep 07 16:30:00 UTC 2012,4,16,990,98,8,Government Buildings=1_Travel & Transport=2_Arts & Entertainment=3_Shops & Services=2_Professional & Other Places=1,Electronics Store=1_Train Station=1_Concert Hall=1_Bus Station=1_Stadium=1_Monument / Landmark=1_Music Venue=1_Department Store=1,Berlin Festival 2012=1_Tempodrom=1_ehem. Flughafen Tempelhof=1_Berlin Hauptbahnhof=1_Bus-H Alexanderplatz=1_Mommsenstadion=1_Galeries Lafayette=1_Miele=1
Fri Sep 07 17:00:00 UTC 2012,4,17,1020,79,18,Travel & Transport=3_Outdoors & Recreation=2_Nightlife Spots=4_Residences=2_Shops & Services=1_Food=6,Home (private)=2_Bridge=2_Light Rail=2_Greek Restaurant=1_Bus Station=1_Nightclub=1_Café=1_Italian Restaurant=1,Potsdamer Platz Arkaden=1_Tram-H Bersarinplatz=1_Bommersheim is Friedenau=1_degendorff=1_Burgermeister=1_Köthener Brücke=1_Bi Nuu=1_Meta Mate Bar=1_Zyankali Bar=1_Artemis=1_Brachvogel=1_Headquarter Berlin=1_H Varian-Fry-Straße=1_Vapiano=1_More Restaurant=1_Belushi's=1_Baerwaldbrücke=1_S+U Warschauer Straße=1
Fri Sep 07 17:30:00 UTC 2012,4,17,1050,142,21,Outdoors & Recreation=3_Nightlife Spots=2_Arts & Entertainment=3_Shops & Services=4_Food=6_Professional & Other Places=2,Park=2_Movie Theater=2_Bookstore=1_Nightclub=1_Paper / Office Supplies Store=1_Office=1_Pub=1_Bike Shop=1,NU Restaurant=1_Massai=1_Hugendubel=1_Falkplatz=1_REWE=1_Berlin Festival 2012=1_Nanu Nana Arkaden=1_Maifeld=1_Conrad Fahrradladen=1_Neue Kant-Kinos=1_Prince Charles=1_Restaurant Split=1_Startupbootcamp Berlin HQ=1_The Bird=1_Tram-H Friedrich-Ludwig-Jahn-Sportpark=1_McPaper=1_Autokino=1_Geschäftsstelle der Piratenpartei=1_marienBurger=1_Zum Magendoktor=1_Mauerpark=1
Fri Sep 07 18:00:00 UTC 2012,4,18,1080,112,16,Nightlife Spots=3_Gyms or Fitness Centers=4_Residences=3_Arts & Entertainment=2_Shops & Services=6_Professional & Other Places=2,Home (private)=3_Bar=2_Gym Pool=2_Gym / Fitness Center=2,Schwimmhalle Holzmarktstraße=2_Tante Emma=1_PLATOON KUNSTHALLE=1_Fritz Club im Postbahnhof=1_Berlin Hauptbahnhof=1_Regensburger Strasse 5a=1_Ideal-Pavillon=1_Fitness First Lifestyle Club=1_Bundesministerium der Finanzen=1_Fitness First Black Label Club=1_Museum für Kommunikation Berlin=1_Reformationskirche=1_fempire=1_zuhause=1_Kartoffelhaus No 1=1
Fri Sep 07 18:30:00 UTC 2012,4,18,1110,117,20,Government Buildings=3_Outdoors & Recreation=3_Nightlife Spots=2_Arts & Entertainment=4_Food=4_Professional & Other Places=5,Burger Joint=2_Beer Garden=1_City Hall=1_Light Rail=1_Italian Restaurant=1_Concert Hall=1_Stadium=1_Playground=1,Deutsch-Französisches Jugendwerk | Office franco-allemand pour la Jeunesse=1_Berlin Festival 2012=1_Galerie Wagner & Partner=1_Standesamt Berlin Mitte=1_c-base=1_EDEKA aktiv Markt=1_Ruine der Franziskaner-Klosterkirche=1_K 17=1_Spielplatz Fischerinsel=1_Mühlendammbrücke=1_Zsa Zsa Burger=1_Tempodrom=1_Moormann=1_H Tram Allee der Kosmonauten /Rhinstr. | M8 M17 18 27 37=1_Giorgio Ristorante=1_Spree=1_Schillerburger=1_Maria & Josef=1_Olympiastadion=1_Amtsgericht Mitte=1
Fri Sep 07 19:00:00 UTC 2012,4,19,1140,113,3,Travel & Transport=1_Residences=1_Food=1,Housing Development=1_German Restaurant=1_Hotel=1,Wilhelmstrasse 78-301=1_Schneeweiß=1_У Жени=1
Fri Sep 07 19:30:00 UTC 2012,4,19,1170,68,9,Government Buildings=2_Outdoors & Recreation=1_Nightlife Spots=2_Residences=1_Shops & Services=1_Food=2_Professional & Other Places=2,Capitol Building=2_Bar=2_Home (private)=1_Park=1_Steakhouse=1_Gym / Fitness Center=1_Tapas Restaurant=1,Fuc bar=1_Entrecôte=1_Reichstagskuppel=1_Maximus Sportsclub=1_Viktoriapark=1_Zu Mir oder Zu Dir=1_Lisboa Bar=1_Reichstag=1_MME new residence=1
Fri Sep 07 20:00:00 UTC 2012,4,20,1200,151,12,Outdoors & Recreation=1_Travel & Transport=1_Nightlife Spots=4_Shops & Services=1_Arts & Entertainment=2_Food=2_Colleges & Universities=1,Nightclub=2_Performing Arts Venue=1_Concert Hall=1_Smoke Shop=1_University=1_Light Rail=1_Bar=1_Gay Bar=1,Bahnhof Berlin Südkreuz=1__jrg HQ=1_Berghain=1_Zur kleinen Markthalle=1_Spreegold=1_Tempodrom=1_Späti am Schlesi=1_FluxBau=1_Reizbar=1_am to pm=1_Kilkenny Irish Pub=1_Alexanderplatz=1
Fri Sep 07 20:30:00 UTC 2012,4,20,1230,92,7,Travel & Transport=2_Nightlife Spots=1_Residences=2_Arts & Entertainment=1_Food=1,Light Rail=2_Home (private)=1_Nightclub=1_Residential Building (Apartment / Condo)=1_Restaurant=1_Music Venue=1,Cassiopeia=1_S-Bhf Olympiastadion=1_Berlin Festival 2012=1_Zuhause=1_Solar Berlin=1_CasaJeri=1_S-Bhf Wilhelmshagen - S3=1
Fri Sep 07 21:00:00 UTC 2012,4,21,1260,120,10,Outdoors & Recreation=1_Travel & Transport=3_Arts & Entertainment=1_Food=2_Professional & Other Places=1_Movie Theaters=1,Train Station=1_Indie Movie Theater=1_Office=1_Café=1_Park=1_Burger Joint=1_Airport=1_Hotel=1,Hamburger Heaven=1_S+U Alexanderplatz=1_aurora=1_InterContinental=1_Berlin Tegel Airport (TXL)=1_Fumakilla HQ=1_Evim Evim=1_Zoe's und Basti's Homebase=1_Kino KROKODIL=1_Hohenstaufenplatz=1
Fri Sep 07 21:30:00 UTC 2012,4,21,1290,124,12,Travel & Transport=3_Outdoors & Recreation=2_Nightlife Spots=3_Arts & Entertainment=1_Food=3,Bar=2_Light Rail=2_Park=1_Concert Hall=1_Seafood Restaurant=1_Train Station=1_Bridge=1_Diner=1,Rudolf-Wissell-Brücke=1_Leander=1_The Sharon Stonewall Bar=1_Arena Berlin Treptow=1_Bretterbude=1_Berlin Hauptbahnhof=1_Boxhagener Platz=1_H Tram Landsberger Allee /Petersburger Str. | M5 M6 M8 M10=1_Anfora=1_Schöneweide Grillhaus=1_Bar 82=1_H Tram S Nordbahnhof=1
Fri Sep 07 22:00:00 UTC 2012,4,22,1320,90,4,Nightlife Spots=2_Residences=1_Arts & Entertainment=1,General Entertainment=1_Nightclub=1_Home (private)=1_Cocktail Bar=1,Flamingo=1_Sandra's und Christopher's Home=1_TheLiberate Berlin=1_Folsom Berlin=1
Fri Sep 07 22:30:00 UTC 2012,4,22,1350,83,4,Travel & Transport=1_Nightlife Spots=1_Hotels=1_Residences=1_Arts & Entertainment=1,Motel=1_Concert Hall=1_Bar=1_Home (private)=1,Cocktailbar Reingold=1_Arena Berlin Treptow=1_Chillicious Home=1_Motel One=1
Fri Sep 07 23:00:00 UTC 2012,4,23,1380,53,5,Nightlife Spots=2_Arts & Entertainment=2,Concert Hall=2_Nightclub=1_Bar=1,Arena Berlin Treptow=1_Arena Club=1_tmkilla.com HQ=1_SO36=1_Heideglühen=1
Fri Sep 07 23:30:00 UTC 2012,4,23,1410,60,4,Outdoors & Recreation=1_Nightlife Spots=1_Arts & Entertainment=1_Food=1,Garden=1_Concert Hall=1_Italian Restaurant=1_Bar=1,"Arena Berlin Treptow=1_Kleingartenanlage ""Mühlenwiese-Finkenheerd"" e.V.=1_Soylent=1_La Pausa=1"
Sat Sep 08 00:00:00 UTC 2012,5,0,0,74,5,Nightlife Spots=3_Residences=1_Professional & Other Places=1,Nightclub=1_Office=1_Gay Bar=1_Bar=1_Home (private)=1,Cassiopeia=1_Prinzknecht=1_Fotografiona:Home=1_Geschäftsstelle der Piratenpartei=1_Heideglühen=1
Sat Sep 08 00:30:00 UTC 2012,5,0,30,80,3,Nightlife Spots=2_Arts & Entertainment=1,Nightclub=1_Karaoke Bar=1_Music Venue=1,King Karaoke=1_Magnet=1_Berlin Festival 2012=1
Sat Sep 08 01:00:00 UTC 2012,5,1,60,69,3,Nightlife Spots=1_Residences=2,Home (private)=2_Nightclub=1,Arena Club=1_The Sandeman & Burke Household=1_Valhalla=1
Sat Sep 08 01:30:00 UTC 2012,5,1,90,29,2,Travel & Transport=1_Nightlife Spots=1,Nightclub=1_Airport=1,Cassiopeia=1_Airport Lounge=1
Sat Sep 08 02:00:00 UTC 2012,5,2,120,39,0,"","",""
Sat Sep 08 02:30:00 UTC 2012,5,2,150,35,1,Nightlife Spots=1,Nightclub=1,Watergate Club=1
Sat Sep 08 03:00:00 UTC 2012,5,3,180,48,1,Outdoors & Recreation=1,Other Great Outdoors=1,Grunewald=1
Sat Sep 08 03:30:00 UTC 2012,5,3,210,28,1,Travel & Transport=1,Subway=1,S+U-Bhf Yorckstraße=1
Sat Sep 08 04:00:00 UTC 2012,5,4,240,25,1,Travel & Transport=1,Travel Lounge=1,DB Lounge Berlin=1
Sat Sep 08 04:30:00 UTC 2012,5,4,270,28,1,Travel & Transport=1,Train Station=1,Berlin Hauptbahnhof=1
Sat Sep 08 05:00:00 UTC 2012,5,5,300,17,0,"","",""
Sat Sep 08 05:30:00 UTC 2012,5,5,330,23,4,Government Buildings=1_Travel & Transport=1_Shops & Services=1_Food=1_Professional & Other Places=2,Office=1_Butcher=1_Fire Station=1_Hotel=1,RTW Stützpunkt JUH=1_Ivbergs Hotel=1_Fleischerei Erdmann & Schwarze=1_Cinegate Film+Fotostudio=1
