longitude,latitude,fsq_venueName,fsq_venueCount
-0.089424,51.443247,Beauberry House,1
-0.02239108,51.5061782,Cat & Canary,1
-0.01240253,51.54114389,London 2012 Water Polo Arena,1
-0.306334,51.51302,At Thai Canteen,1
-0.16248575,51.50051685,Halifax Bank,2
-0.191582,51.48897192,The Pembroke,1
-0.16147312,51.49865375,The Tea Room,1
-0.26594639,51.44528806,White Lodge,1
-0.262362,51.491973,Sam's Brasserie,2
-0.1384449,51.54190458,Grand Union Camden,1
-0.22133896,51.50738498,Vue Cinema,19
-0.145443,51.512797,Mews of Mayfair,2
-0.16593109,51.55371618,Royal Free Hospital,1
-0.07470489,51.5167949,Petticoat Lane Market,1
-0.11679788,51.50157621,Forum Magnum Square,1
-0.14921533,51.53812192,Cecil Sharp House,1
-0.45833588,51.47004952,Singapore Airlines SilverKris Lounge,1
0.00924289,51.46567513,Shepherd Foods (London) Ltd,1
-0.131384,51.511097,St John Hotel Restaurant,1
-0.13835496,51.53467942,KOKO,4
-0.48666,51.47079804,Caviar House & Prunier Seafood Bar,1
-0.13497707,51.52063603,Yumchaa Teas,2
-0.18879071,51.64683235,BP Connect Petrol Station,2
-0.08475803,51.51268541,Club Quarters,2
-0.16185706,51.41713639,Gorringe Park Avenue,1
-0.0139904,51.50489601,London 2012 HQ,1
-0.139616,51.49856,The Colonies,4
-0.125841,51.5137059,Facebook UK,2
-0.12381077,51.48584598,Vauxhall Railway Station (VXH),9
-0.04724261,51.60909327,Bus Stop L,3
-0.02818465,51.5060246,Four Seasons,1
-0.23477069,51.57018619,A406,1
0.18137983,51.44868488,The Charlotte,1
-0.17830424,51.51789899,Paddington Underground (Hammersmith & City and Circle lines),4
-0.06255097,51.53169428,Rocket Barber Shop,1
-0.196721,51.446656,Haart,1
-0.1566659,51.51605077,Home House,3
-0.33966,51.36002,The Hare & Hound,1
-0.14839053,51.51455826,Ben's Cookies,2
-0.08242965,51.51299588,Lloyd's of London,4
-0.141514,51.492123,Stanley House,1
-0.0265646,51.4442449,Catford Railway Station (CTF),2
-0.14456982,51.52683607,Cambridge Gate,1
-0.47228336,51.6392486,Brown Sugar Deli,1
-0.175944,51.511825,London Elizabeth Hotel,1
