time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Thu Sep 06 06:30:00 UTC 2012,3,6,390,0,0,"","","",""
Thu Sep 06 07:00:00 UTC 2012,3,7,420,0,0,"","","",""
Thu Sep 06 07:30:00 UTC 2012,3,7,450,0,0,"","","",""
Thu Sep 06 08:00:00 UTC 2012,3,8,480,0,0,"","","",""
Thu Sep 06 08:30:00 UTC 2012,3,8,510,0,0,"","","",""
Thu Sep 06 09:00:00 UTC 2012,3,9,540,1,1,Professional & Other Places=1,Office=1,Cubeware GmbH=1,Office=47.8403533 12.11410046
Thu Sep 06 09:30:00 UTC 2012,3,9,570,0,0,"","","",""
Thu Sep 06 10:00:00 UTC 2012,3,10,600,0,0,"","","",""
Thu Sep 06 10:30:00 UTC 2012,3,10,630,0,0,"","","",""
Thu Sep 06 11:00:00 UTC 2012,3,11,660,1,0,"","","",""
Thu Sep 06 11:30:00 UTC 2012,3,11,690,3,1,Food=1,Fast Food Restaurant=1,McDonald's=1,Fast Food Restaurant=47.85054917 12.11942196
Thu Sep 06 12:00:00 UTC 2012,3,12,720,1,1,Arts & Entertainment=1,General Entertainment=1,Ku'ko: Kultur & Kongresszentrum=1,General Entertainment=47.85312983 12.12493999
Thu Sep 06 12:30:00 UTC 2012,3,12,750,0,0,"","","",""
Thu Sep 06 13:00:00 UTC 2012,3,13,780,1,0,"","","",""
Thu Sep 06 13:30:00 UTC 2012,3,13,810,0,0,"","","",""
Thu Sep 06 14:00:00 UTC 2012,3,14,840,0,0,"","","",""
Thu Sep 06 14:30:00 UTC 2012,3,14,870,3,2,Professional & Other Places=1_Food=1,German Restaurant=1_Office=1,Gasthaus zum Stockhammer=1_Cubeware GmbH=1,Office=47.8403533 12.11410046_German Restaurant=47.85572 12.12713
Thu Sep 06 15:00:00 UTC 2012,3,15,900,2,2,Nightlife Spots=1_Food=1,Bakery=1_Beer Garden=1,Bergmeister=1_Herbstfest Flötzinger Festzelt=1,Beer Garden=47.85945376 12.12747959_Bakery=47.85216213 12.12115343
Thu Sep 06 15:30:00 UTC 2012,3,15,930,1,1,Nightlife Spots=1,Beer Garden=1,Flötzinger Festzelt=1,Beer Garden=47.85924736 12.12680005
Thu Sep 06 16:00:00 UTC 2012,3,16,960,1,0,"","","",""
Thu Sep 06 16:30:00 UTC 2012,3,16,990,0,0,"","","",""
Thu Sep 06 17:00:00 UTC 2012,3,17,1020,0,0,"","","",""
Thu Sep 06 17:30:00 UTC 2012,3,17,1050,0,0,"","","",""
Thu Sep 06 18:00:00 UTC 2012,3,18,1080,1,1,Professional & Other Places=1,Military Base=1,Bundespolizei/ Bundesgrenzschutz Kaserne Rosenheim=1,Military Base=47.86773939 12.12109324
Thu Sep 06 18:30:00 UTC 2012,3,18,1110,0,0,"","","",""
Thu Sep 06 19:00:00 UTC 2012,3,19,1140,0,0,"","","",""
Thu Sep 06 19:30:00 UTC 2012,3,19,1170,0,0,"","","",""
Thu Sep 06 20:00:00 UTC 2012,3,20,1200,1,0,"","","",""
Thu Sep 06 20:30:00 UTC 2012,3,20,1230,2,0,"","","",""
Thu Sep 06 21:00:00 UTC 2012,3,21,1260,2,0,"","","",""
Thu Sep 06 21:30:00 UTC 2012,3,21,1290,0,0,"","","",""
Thu Sep 06 22:00:00 UTC 2012,3,22,1320,0,0,"","","",""
Thu Sep 06 22:30:00 UTC 2012,3,22,1350,0,0,"","","",""
Thu Sep 06 23:00:00 UTC 2012,3,23,1380,0,0,"","","",""
Thu Sep 06 23:30:00 UTC 2012,3,23,1410,0,0,"","","",""
Fri Sep 07 00:00:00 UTC 2012,4,0,0,1,0,"","","",""
Fri Sep 07 00:30:00 UTC 2012,4,0,30,0,0,"","","",""
Fri Sep 07 01:00:00 UTC 2012,4,1,60,0,0,"","","",""
Fri Sep 07 01:30:00 UTC 2012,4,1,90,2,0,"","","",""
Fri Sep 07 02:00:00 UTC 2012,4,2,120,0,0,"","","",""
Fri Sep 07 02:30:00 UTC 2012,4,2,150,0,0,"","","",""
Fri Sep 07 03:00:00 UTC 2012,4,3,180,0,0,"","","",""
Fri Sep 07 03:30:00 UTC 2012,4,3,210,0,0,"","","",""
Fri Sep 07 04:00:00 UTC 2012,4,4,240,0,0,"","","",""
Fri Sep 07 04:30:00 UTC 2012,4,4,270,0,0,"","","",""
Fri Sep 07 05:00:00 UTC 2012,4,5,300,0,0,"","","",""
Fri Sep 07 05:30:00 UTC 2012,4,5,330,0,0,"","","",""
Fri Sep 07 06:00:00 UTC 2012,4,6,360,0,0,"","","",""
Fri Sep 07 06:30:00 UTC 2012,4,6,390,0,0,"","","",""
Fri Sep 07 07:00:00 UTC 2012,4,7,420,7,3,Arts & Entertainment=2_Travel & Transport=1,General Entertainment=2_General Travel=1,Ku'ko: Kultur & Kongresszentrum=2_Rosenheim=1,General Entertainment=47.85312983 12.12493999_General Travel=47.85122261 12.09526313
Fri Sep 07 07:30:00 UTC 2012,4,7,450,0,0,"","","",""
Fri Sep 07 08:00:00 UTC 2012,4,8,480,5,0,"","","",""
Fri Sep 07 08:30:00 UTC 2012,4,8,510,1,0,"","","",""
Fri Sep 07 09:00:00 UTC 2012,4,9,540,0,0,"","","",""
Fri Sep 07 09:30:00 UTC 2012,4,9,570,0,0,"","","",""
Fri Sep 07 10:00:00 UTC 2012,4,10,600,0,0,"","","",""
Fri Sep 07 10:30:00 UTC 2012,4,10,630,1,1,Professional & Other Places=1_Medical Centers=1,Hospital=1,Klinikum Rosenheim=1,Hospital=47.86023144 12.13136498
Fri Sep 07 11:00:00 UTC 2012,4,11,660,0,0,"","","",""
Fri Sep 07 11:30:00 UTC 2012,4,11,690,1,0,"","","",""
Fri Sep 07 12:00:00 UTC 2012,4,12,720,0,0,"","","",""
Fri Sep 07 12:30:00 UTC 2012,4,12,750,1,1,Arts & Entertainment=1,Theme Park=1,Herbstfest Rosenheim=1,Theme Park=47.85979723 12.12631808
Fri Sep 07 13:00:00 UTC 2012,4,13,780,0,0,"","","",""
Fri Sep 07 13:30:00 UTC 2012,4,13,810,0,0,"","","",""
Fri Sep 07 14:00:00 UTC 2012,4,14,840,0,0,"","","",""
Fri Sep 07 14:30:00 UTC 2012,4,14,870,0,0,"","","",""
Fri Sep 07 15:00:00 UTC 2012,4,15,900,3,0,"","","",""
Fri Sep 07 15:30:00 UTC 2012,4,15,930,0,0,"","","",""
Fri Sep 07 16:00:00 UTC 2012,4,16,960,1,0,"","","",""
Fri Sep 07 16:30:00 UTC 2012,4,16,990,0,0,"","","",""
Fri Sep 07 17:00:00 UTC 2012,4,17,1020,0,0,"","","",""
Fri Sep 07 17:30:00 UTC 2012,4,17,1050,6,0,"","","",""
Fri Sep 07 18:00:00 UTC 2012,4,18,1080,3,1,Arts & Entertainment=1,Theme Park=1,Herbstfest Rosenheim=1,Theme Park=47.85979723 12.12631808
Fri Sep 07 18:30:00 UTC 2012,4,18,1110,2,0,"","","",""
Fri Sep 07 19:00:00 UTC 2012,4,19,1140,0,0,"","","",""
Fri Sep 07 19:30:00 UTC 2012,4,19,1170,0,0,"","","",""
Fri Sep 07 20:00:00 UTC 2012,4,20,1200,1,0,"","","",""
Fri Sep 07 20:30:00 UTC 2012,4,20,1230,1,0,"","","",""
Fri Sep 07 21:00:00 UTC 2012,4,21,1260,1,0,"","","",""
Fri Sep 07 21:30:00 UTC 2012,4,21,1290,1,0,"","","",""
Fri Sep 07 22:00:00 UTC 2012,4,22,1320,0,0,"","","",""
Fri Sep 07 22:30:00 UTC 2012,4,22,1350,0,0,"","","",""
Fri Sep 07 23:00:00 UTC 2012,4,23,1380,0,0,"","","",""
Fri Sep 07 23:30:00 UTC 2012,4,23,1410,0,0,"","","",""
Sat Sep 08 00:00:00 UTC 2012,5,0,0,0,0,"","","",""
Sat Sep 08 00:30:00 UTC 2012,5,0,30,0,0,"","","",""
Sat Sep 08 01:00:00 UTC 2012,5,1,60,0,0,"","","",""
Sat Sep 08 01:30:00 UTC 2012,5,1,90,0,0,"","","",""
Sat Sep 08 02:00:00 UTC 2012,5,2,120,0,0,"","","",""
Sat Sep 08 02:30:00 UTC 2012,5,2,150,0,0,"","","",""
Sat Sep 08 03:00:00 UTC 2012,5,3,180,0,0,"","","",""
Sat Sep 08 03:30:00 UTC 2012,5,3,210,0,0,"","","",""
Sat Sep 08 04:00:00 UTC 2012,5,4,240,0,0,"","","",""
Sat Sep 08 04:30:00 UTC 2012,5,4,270,0,0,"","","",""
Sat Sep 08 05:00:00 UTC 2012,5,5,300,0,0,"","","",""
Sat Sep 08 05:30:00 UTC 2012,5,5,330,0,0,"","","",""
Sat Sep 08 06:00:00 UTC 2012,5,6,360,1,0,"","","",""
Sat Sep 08 06:30:00 UTC 2012,5,6,390,3,0,"","","",""
Sat Sep 08 07:00:00 UTC 2012,5,7,420,1,0,"","","",""
Sat Sep 08 07:30:00 UTC 2012,5,7,450,1,0,"","","",""
Sat Sep 08 08:00:00 UTC 2012,5,8,480,1,1,Travel & Transport=1,Train Station=1,Bahnhof Rosenheim=1,Train Station=47.85051154 12.11954149
Sat Sep 08 08:30:00 UTC 2012,5,8,510,1,1,Food=1,Coffee Shop=1,Coffee Fellows=1,Coffee Shop=47.85079221 12.11936286
Sat Sep 08 09:00:00 UTC 2012,5,9,540,0,0,"","","",""
Sat Sep 08 09:30:00 UTC 2012,5,9,570,1,0,"","","",""
Sat Sep 08 10:00:00 UTC 2012,5,10,600,0,0,"","","",""
Sat Sep 08 10:30:00 UTC 2012,5,10,630,0,0,"","","",""
Sat Sep 08 11:00:00 UTC 2012,5,11,660,0,0,"","","",""
Sat Sep 08 11:30:00 UTC 2012,5,11,690,0,0,"","","",""
Sat Sep 08 12:00:00 UTC 2012,5,12,720,2,0,"","","",""
Sat Sep 08 12:30:00 UTC 2012,5,12,750,0,0,"","","",""
Sat Sep 08 13:00:00 UTC 2012,5,13,780,0,0,"","","",""
Sat Sep 08 13:30:00 UTC 2012,5,13,810,1,1,Shops & Services=1,Department Store=1,Karstadt Rosenheim=1,Department Store=47.85422812 12.12479711
