time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Fri Sep 07 14:00:00 UTC 2012,4,14,840,525,31,Food=9_Outdoors & Recreation=3_Shops & Services=8_Travel & Transport=2_Professional & Other Places=5_Arts & Entertainment=2_Food & Drink Shops=2_Medical Centers=5,Doctor's Office=5_Italian Restaurant=2,"Kaiser Permanente- Family Medicine Clinic=4_Mission Chinese Food=1_Sanraku=1_Huntington Hotel=1_Stonehouse California Olive Oil=1_The Stinking Rose=1_Quince=1_Bi-Rite Creamery=1_Soup Junkie - Noodle Soups, Sandwiches, Coffee=1_San Francisco International Airport (SFO)=1_J.Crew=1_Kaiser Permanente Eye Center=1_Atelier Emmanuel=1_Silicon Valley Bank=1_Chez Maman=1_Bettie Page Store=1_Aquent & Vitamin T Talent Bash=1_Bi-Rite Market=1_Ghirardelli Ice Cream & Original Chocolate Shop=1_PIER 39=1_Big Dog Walk=1_San Francisco Museum of Modern Art=1_Community Music Center=1_AK Subs=1_Levi's Plaza=1_Walgreens=1_24 Hour Fitness=1_In-N-Out Burger=1",Italian Restaurant=37.79821492 -122.40740698_Doctor's Office=37.78435478 -122.440009
Fri Sep 07 14:30:00 UTC 2012,4,14,870,566,20,Food=6_Outdoors & Recreation=2_Shops & Services=3_Travel & Transport=3_Professional & Other Places=5,Coffee Shop=3_Office=3_Park=2,Mission Dolores Park=1_CLEAR Terminal 3=1_Humphry Slocombe=1_The Electric Beach=1_Crocker Galleria=1_San Francisco International Airport (SFO)=1_Chit Chat Cafe=1_Starbucks=1_Osha Thai Restaurant=1_Peninsula Pathologists Medical Group=1_Ubisoft=1_Peet's Coffee & Tea=1_West Portal MUNI Metro Station=1_California Academy of Sciences=1_San Francisco Maritime National Historical Park=1_US Post Office=1_Four Embarcadero Center=1_Hi Dive Bar=1_Wells Fargo Bank=1_Boudin Bakery & Cafe=1,Park=37.80743679 -122.42123412_Office=37.79517357 -122.39619792_Coffee Shop=37.770438 -122.403511
Fri Sep 07 15:00:00 UTC 2012,4,15,900,538,17,Food=3_Ferries=2_Outdoors & Recreation=2_Offices=3_Shops & Services=6_Travel & Transport=2_Professional & Other Places=4_Clothing Stores=2_Food & Drink Shops=2,Tech Startup=3_Grocery Store=2_Shoe Store=2,"Twilio HQ=2_Dr. Martens=2_Pier 33=1_Metreon Center=1_Alcatraz Cruises=1_The Pacific Ocean @ Ocean Beach=1_Haight/Ashbury=1_KIDROBOT=1_Whole Foods Market=1_San Francisco City Hall=1_The Cheesecake Factory=1_Sightglass Coffee=1_Twitter, Inc.=1_Ferry Plaza Seafood=1_El Chico Produce Market #2=1",Shoe Store=37.769652 -122.449082_Tech Startup=37.78728059 -122.39447972_Grocery Store=37.724587 -122.434946
Fri Sep 07 15:30:00 UTC 2012,4,15,930,578,26,Food=6_Ferries=3_Outdoors & Recreation=6_Shops & Services=3_Travel & Transport=8,Airport=4_Coffee Shop=2_Brewery=2_Boat or Ferry=2_Harbor / Marina=2,"San Francisco International Airport (SFO)=4_Alcatraz Cruises=2_Ferry Building=2_T-mobile=1_Revival=1_The Social Study=1_Royal Auto Repair=1_Bread and Cocoa=1_Thirsty Bear Brewing Company=1_Pier 33=1_San Francisco, CA=1_Parada 22=1_Starbucks=1_San Francisco Caltrain Station=1_Sephora=1_Baker Beach=1_21st Amendment Brewery & Restaurant=1_Subway=1_Mission Dolores Park=1_Union Square=1_Dropbox HQ=1",Harbor / Marina=37.79542791 -122.39362836_Boat or Ferry=37.80663069 -122.40468979_Airport=37.61642405 -122.38627911_Brewery=37.78550055 -122.39948597_Coffee Shop=37.7897093 -122.40359545
Fri Sep 07 16:00:00 UTC 2012,4,16,960,404,18,Food=5_Stadiums=2_Shops & Services=4_Travel & Transport=2_Professional & Other Places=3_Arts & Entertainment=3,Baseball Stadium=2_Coffee Shop=2_Tech Startup=1_Burger Joint=1_Snack Place=1_Event Space=1_Grocery Store=1_Bank=1,AT&T Park=2_Yola Inc.=1_All States Best Foods=1_Jewish Community Center of San Francisco (JCCSF)=1_Fisherman's Wharf=1_Starbucks=1_Tropo HQ=1_Chase Bank=1_Caffè La Stazione=1_Ben & Jerry's=1_Security Checkpoint=1_Auntie Anne's=1_Travelodge Presidio=1_H&M=1_In-N-Out Burger=1_Starcade=1_Apple Store=1,Tech Startup=37.78898013 -122.40129948_Grocery Store=37.759913 -122.397569_Event Space=37.78721234 -122.44716338_Snack Place=37.784565 -122.406557_Burger Joint=37.80776656 -122.41843343_Bank=37.76610618 -122.40826431_Coffee Shop=37.75754288 -122.39293098_Baseball Stadium=37.77833859 -122.3894012
Fri Sep 07 16:30:00 UTC 2012,4,16,990,557,32,Food=13_Shops & Services=5_Professional & Other Places=8_Medical Centers=3_Nightlife Spots=3,Coffee Shop=4_American Restaurant=3,"West Field Garage=2_Dr. Polly D. Rivas, DDS=2_Contraband Coffeebar=1_Smitten Ice Cream=1_Zog's Dogs=1_AT&T Park=1_Brightroll, Inc.=1_Alibi Restaurant and Lounge=1_Landmark Embarcadero Center Cinema=1_San Francisco International Airport (SFO)=1_Temple Nightclub=1_Four Barrel Coffee=1_Starbucks=1_Whole Foods Market=1_Grace Cathedral=1_Connecticut Yankee=1_L.Bruce Mebine, O.D. & Associates=1_TRES=1_Ritual Coffee Roasters=1_New Russian Hill Market=1_Public Works=1_Mercedes Benz of San Francisco=1_Cafe des Amis=1_Lori's Diner=1_The Grove=1_Union Square=1_St. Brigid cathedral=1_24 Hour Fitness=1_ING DIRECT Cafe=1_Pedro's Cantina=1",American Restaurant=37.78852141 -122.40226282_Coffee Shop=37.756501 -122.421146
Fri Sep 07 17:00:00 UTC 2012,4,17,1020,641,28,Food=7_Outdoors & Recreation=2_Shops & Services=3_Travel & Transport=7_Professional & Other Places=2_Nightlife Spots=5,Bar=4_Airport=3,San Francisco International Airport (SFO)=3_Americano Restaurant & Bar=1_Visitacion Valley Branch Library=1_AT&T Park=1_Public House=1_The Creamery=1_Toronado=1_Michael Mina=1_Papalote Mexican Grill=1_Pier 35=1_Safeway=1_W San Francisco=1_Casa Bonita=1_Wardrobe Cleaners=1_Montgomery St. BART Station=1_La Taqueria=1_Bite Roof Deck=1_Lori's Diner=1_Royal Exchange=1_800 Larkin=1_Union Square=1_MoMo's=1_Balboa Park BART Station=1_Philz Coffee=1_24 Hour Fitness=1_The Westin San Francisco Market Street=1,Airport=37.61642405 -122.38627911_Bar=37.79379 -122.393
Fri Sep 07 17:30:00 UTC 2012,4,17,1050,678,42,Food=7_Stadiums=4_Outdoors & Recreation=4_Shops & Services=7_Travel & Transport=7_Professional & Other Places=4_Arts & Entertainment=6_Nightlife Spots=7,Baseball Stadium=4_Bar=4_Neighborhood=2_Music Venue=2_Tech Startup=2_Airport=2_Hotel=2_Mall=2,"AT&T Park=4_San Francisco International Airport (SFO)=2_Westfield San Francisco Centre=2_Yamaha Drum Kit!=1_YouNoodle HQ=1_Muni Market and Hyde=1_Tonic=1_Pets Unlimited=1_Boudin Sourdough Bakery & Cafe=1_puff 'n stuff=1_Bank of America=1_Four Seasons Hotel San Francisco=1_Sutter Station=1_Off the Grid: Fort Mason Center=1_Doc's Clock=1_Biergarten=1_Japantown=1_Cole Fox Hardware=1_Golden Boy Pizza=1_Michael Mina=1_EZ5=1_Shabu House=1_Americano Restaurant & Bar=1_The Chieftain Irish Pub & Restaurant=1_Republic of Sound=1_Stage 24 Productions=1_Le Méridien=1_Transamerica Pyramid=1_House of Prime Rib=1_Shell Gas Station=1_SFSU Courtesy Shuttle=1_Financial District=1_MUNI - Battery St. (F, 6, 9, 71)=1_Union Square=1_Burritt Room=1_Twilio HQ=1_La Petite Baleen=1",Mall=37.78425734 -122.4068141_Hotel=37.78631599 -122.40455836_Airport=37.61642405 -122.38627911_Tech Startup=37.78728059 -122.39447972_Neighborhood=37.78530028 -122.43000984_Music Venue=37.778276 -122.408664_Bar=37.79867 -122.422304_Baseball Stadium=37.77833859 -122.3894012
Fri Sep 07 18:00:00 UTC 2012,4,18,1080,705,39,Food=13_Shops & Services=8_Travel & Transport=5_Gyms or Fitness Centers=3_Nightlife Spots=7,Bar=3_New American Restaurant=2_Sports Bar=2_Subway=2_Gym=2,"Mission Dolores Park=1_Virgin America=1_Spruce=1_Dosa=1_Prospect=1_Hwa Rang Kwan=1_Ducca=1_Public House=1_The Hidden Vine=1_1015 Folsom=1_AT&T Park=1_City Beer Store=1_Lyon Street Steps=1_Paragon Restaurant & Bar=1_San Francisco International Airport (SFO)=1_Nectar Wine Lounge=1_Transbay Temporary Terminal=1_Chevys Fresh Mex=1_Whole Foods Market=1_Lombardi Sports=1_Sugarcane SF=1_Starbucks=1_Pete’s Tavern=1_Toraya Sushi Bar & Grill=1_21st Amendment Brewery & Restaurant=1_Dragon City Cafe=1_Chevron=1_CyberAgent America,Inc=1_Thanh Long=1_Bill Grossman's School Of Kenpo Karate=1_Trinity Place=1_Umami Burger=1_FCCFree Radio=1_The Sports Club/LA=1_Dalva=1_Balboa Park BART Station=1_Daly City BART Station=1_Crunch Fitness=1_Pedro's Cantina=1",Gym=37.7865626 -122.40461367_Subway=37.72100053 -122.44691849_Sports Bar=37.7780637 -122.39145373_New American Restaurant=37.79015137 -122.39147586_Bar=37.77941553 -122.3905921
Fri Sep 07 18:30:00 UTC 2012,4,18,1110,700,61,Stadiums=7_Food=13_Outdoors & Recreation=4_Shops & Services=14_Travel & Transport=4_Arts & Entertainment=10_Food & Drink Shops=4_Nightlife Spots=8,Baseball Stadium=7_Bar=3_Airport=3,AT&T Park=7_San Francisco International Airport (SFO)=3_Americano Restaurant & Bar=2_Arlequin Wine Merchant=2_de Young Museum=2_Royal Motors Service Center=1_Georges=1_The Westin St. Francis=1_Bally Total Fitness=1_Leopold's=1_The Taco Shop at Underdogs=1_Macy's=1_Biergarten=1_Longchamp=1_Press Club=1_Wall-e's pad=1_Rio Grande=1_Airbnb HQ=1_Haight/Ashbury=1_Safeway=1_Emporio Armani=1_Whole Foods Market=1_Starbucks=1_Public Barber Salon=1_Jack's laundry=1_TRES=1_Crissy Field=1_Nordstrom=1_Cha Cha Cha=1_Southtown Arcade=1_Super Duper Burgers=1_Bloomingdale's=1_Bibliohead Bookstore=1_Sutter & Sansome Bus Stop=1_Franciscan Crab Restaurant=1_Anchor Plaza=1_Umami=1_Home =1_The Acehole=1_Pizza Orgasmica=1_Noe Valley=1_Chubby Noodle=1_Glen Park Village=1_Isotope Comics=1_YouNoodle HQ=1_Bar Basic=1_Sebo=1_Incanto=1_Per Diem=1_Balboa Cafe=1,Airport=37.61642405 -122.38627911_Bar=37.78071775 -122.41230752_Baseball Stadium=37.77833859 -122.3894012
Fri Sep 07 19:00:00 UTC 2012,4,19,1140,812,57,Stadiums=13_Food=23_Shops & Services=4_Professional & Other Places=4_Arts & Entertainment=17_Nightlife Spots=6,Baseball Stadium=13_Bar=3,AT&T Park=12_Landmark Embarcadero Center Cinema=2_The Hatchery - Harrison=2_Thailand Restaurant=1_Memphis Minnie's BBQ=1_KIDROBOT=1_Exploratorium=1_Carl's Jr. / Green Burrito=1_Hooters of San Bruno=1_Wix Lounge SF=1_Slow Club=1_Picaro Cafe=1_Off the Grid: Fort Mason Center=1_San Francisco International Airport (SFO)=1_Willie Mays Gate @ AT&T Park=1_Seoul Garden=1_City Beer Store=1_Fino Restaurant=1_Four Barrel Coffee=1_Primo Patio Cafe=1_Gussie's Chicken & Waffles=1_Pier 23 Cafe=1_Tuba Restaurant=1_Daiso Japan=1_Ozumo Japanese Restaurant=1_W San Francisco=1_Lightning Tavern=1_Z & Y Restaurant=1_440 Castro=1_Public Works=1_Top of the Mark @ InterContinental Mark Hopkins=1_The Occidental Cigar Club=1_Heaven's Dog=1_Bouche=1_Vertigo=1_Mayflower Restaurant=1_Umami=1_Hub SoMa=1_Noeteca=1_Pedro's Cantina=1_Lolinda=1_Crunch Fitness=1_Greyhound Station=1_Garden House Cafe=1,Bar=37.7976 -122.43_Baseball Stadium=37.77833859 -122.3894012
Fri Sep 07 19:30:00 UTC 2012,4,19,1170,736,51,Stadiums=5_Food=25_Outdoors & Recreation=3_Travel & Transport=5_Arts & Entertainment=7_Nightlife Spots=4,Baseball Stadium=5_Food Truck=4_Airport=4,AT&T Park=6_San Francisco International Airport (SFO)=4_Off the Grid: Fort Mason Center=3_Giordano Bros.=2_Southern Pacific Brewing=2_Custom Burger=1_Velo Rouge Cafe=1_SF Bike Party=1_Local Edition=1_Curry Up Now=1_Roy's Hawaiian Fusion Cuisine=1_Louise M. Davies Symphony Hall=1_Elite Cafe=1_Rosamunde Sausage Grill=1_El Toro Loco=1_North Beach Pizza=1_Bleachers=1_Mission Bay Park Pavilion=1_Yuubi Japanese Restaurant=1_Sanraku=1_Rickhouse=1_State Bird Provisions=1_West Portal=1_Forge SF Underground Market=1_Espetus Churrascaria Brazilian Steak House=1_Mamacita=1_Mayflower Restaurant=1_BJ's Restaurant & Brewhouse=1_Umami Burger=1_Citizen's Band=1_the Republic=1_Death Ride Taxi=1_COG1 Interactive=1_Zipcar Mission Walk (330 Berry)=1_Peets Coffee At The Clock Tower=1_Iroha=1_24 Hour Fitness=1_de Young Museum=1_Dropbox HQ=1,Airport=37.61642405 -122.38627911_Food Truck=37.79118456 -122.40114927_Baseball Stadium=37.77833859 -122.3894012
