time,count,fsq_count,CategorieParents,Categories
Fri Sep 07 14:00:00 UTC 2012,1091,51,Shops & Services=11_Professional & Other Places=10_Medical Centers=6,Coffee Shop=3_Office=3_Park=3
Fri Sep 07 15:00:00 UTC 2012,1116,43,Shops & Services=9_Food=9_Outdoors & Recreation=8,Tech Startup=4_Coffee Shop=3_Boat or Ferry=3
Fri Sep 07 16:00:00 UTC 2012,961,50,Professional & Other Places=11_Shops & Services=9_Arts & Entertainment=5,Grocery Store=3_American Restaurant=3_Baseball Stadium=3
Fri Sep 07 17:00:00 UTC 2012,1319,70,Travel & Transport=14_Nightlife Spots=12_Shops & Services=10,Airport=5_Baseball Stadium=5_Hotel=4
Fri Sep 07 18:00:00 UTC 2012,1404,100,Shops & Services=22_Nightlife Spots=15_Arts & Entertainment=12,Bar=6_Airport=4_Grocery Store=3
Fri Sep 07 19:00:00 UTC 2012,1546,108,Arts & Entertainment=24_Stadiums=18_Nightlife Spots=10,Airport=5_Food Truck=5_Sandwich Place=3
Fri Sep 07 20:00:00 UTC 2012,1281,88,Nightlife Spots=24_Travel & Transport=11_Arts & Entertainment=11,Baseball Stadium=6_Sushi Restaurant=6_Airport=5
Fri Sep 07 21:00:00 UTC 2012,1087,61,Nightlife Spots=11_Arts & Entertainment=9_Travel & Transport=8,Airport=4_Pizza Place=4_Burger Joint=3
Fri Sep 07 22:00:00 UTC 2012,815,49,Travel & Transport=9_Food=9_Arts & Entertainment=4,Nightclub=4_Gay Bar=4_Airport=4
Fri Sep 07 23:00:00 UTC 2012,551,48,Food=8_Arts & Entertainment=6_Outdoors & Recreation=3,Nightclub=6_Pub=3_Neighborhood=2
Sat Sep 08 00:00:00 UTC 2012,436,37,Travel & Transport=8_Food=7_Airports=2,Bar=4_Diner=3_Airport=3
Sat Sep 08 01:00:00 UTC 2012,354,16,Food=4_Colleges & Universities=2_Residences=2,Bar=3_Gastropub=2_Chinese Restaurant=1
Sat Sep 08 02:00:00 UTC 2012,209,3,Outdoors & Recreation=1_Residences=1,Pool=1_Electronics Store=1
Sat Sep 08 03:00:00 UTC 2012,153,3,Food=1_Professional & Other Places=1,Airport=1_Coffee Shop=1
Sat Sep 08 04:00:00 UTC 2012,120,4,Outdoors & Recreation=1_Food=1_Professional & Other Places=1,Pool=1_Donut Shop=1_Rest Area=1
Sat Sep 08 05:00:00 UTC 2012,151,5,Airports=3,Airport=2_Plane=1
Sat Sep 08 06:00:00 UTC 2012,421,12,Professional & Other Places=3_Outdoors & Recreation=3_Travel & Transport=2,Plaza=1_Lounge=1_Thrift / Vintage Store=1
